X;CountryCode;RegionCode
Angola;AGO;AFR
French Southern Territories;ATF;AFR
Burundi;BDI;AFR
Benin;BEN;AFR
Burkina Faso;BFA;AFR
Bouvet Island;BVT;AFR
Botswana;BWA;AFR
Central African Republic;CAF;AFR
Cote d Ivoire;CIV;AFR
Cameroon;CMR;AFR
Congo, the Democratic Republic of the;COD;AFR
Congo;COG;AFR
Comoros;COM;AFR
Cape Verde;CPV;AFR
Djibouti;DJI;AFR
Eritrea;ERI;AFR
Western Sahara;ESH;AFR
Ethiopia;ETH;AFR
Gabon;GAB;AFR
Ghana;GHA;AFR
Guinea;GIN;AFR
Gambia;GMB;AFR
Guinea-Bissau;GNB;AFR
Equatorial Guinea;GNQ;AFR
Kenya;KEN;AFR
Liberia;LBR;AFR
Lesotho;LSO;AFR
Madagascar;MDG;AFR
Mali;MLI;AFR
Mozambique;MOZ;AFR
Mauritania;MRT;AFR
Mauritius;MUS;AFR
Malawi;MWI;AFR
Mayotte;MYT;AFR
Namibia;NAM;AFR
Niger;NER;AFR
Nigeria;NGA;AFR
Rwanda;RWA;AFR
Sudan;SDN;AFR
Senegal;SEN;AFR
Saint Helena, Ascension and Tristan da Cunha;SHN;AFR
Sierra Leone;SLE;AFR
Somalia;SOM;AFR
South Sudan;SSD;AFR
Sao Tome and Principe;STP;AFR
Swaziland;SWZ;AFR
Seychelles;SYC;AFR
Chad;TCD;AFR
Togo;TGO;AFR
Tanzania, United Republic of;TZA;AFR
Uganda;UGA;AFR
South Africa;ZAF;AFR
Zambia;ZMB;AFR
Zimbabwe;ZWE;AFR
China;CHN;CPA
Hong Kong;HKG;CPA
Cambodia;KHM;CPA
Lao People's Democratic Republic;LAO;CPA
Macao;MAC;CPA
Mongolia;MNG;CPA
Taiwan, Province of China;TWN;CPA
Viet Nam;VNM;CPA
Aland Islands;ALA;EUR
Albania;ALB;EUR
Andorra;AND;EUR
Austria;AUT;EUR
Belgium;BEL;EUR
Bulgaria;BGR;EUR
Bosnia and Herzegovina;BIH;EUR
Switzerland;CHE;EUR
Cyprus;CYP;EUR
Czech Republic;CZE;EUR
Germany;DEU;EUR
Denmark;DNK;EUR
Spain;ESP;EUR
Estonia;EST;EUR
Finland;FIN;EUR
France;FRA;EUR
Faroe Islands;FRO;EUR
United Kingdom;GBR;EUR
Guernsey;GGY;EUR
Gibraltar;GIB;EUR
Greece;GRC;EUR
Greenland;GRL;EUR
Croatia;HRV;EUR
Hungary;HUN;EUR
Isle of Man;IMN;EUR
Ireland;IRL;EUR
Iceland;ISL;EUR
Italy;ITA;EUR
Jersey;JEY;EUR
Liechtenstein;LIE;EUR
Lithuania;LTU;EUR
Luxembourg;LUX;EUR
Latvia;LVA;EUR
Monaco;MCO;EUR
Macedonia, the former Yugoslav Republic of;MKD;EUR
Malta;MLT;EUR
Montenegro;MNE;EUR
Netherlands;NLD;EUR
Norway;NOR;EUR
Poland;POL;EUR
Portugal;PRT;EUR
Romania;ROU;EUR
Svalbard and Jan Mayen;SJM;EUR
San Marino;SMR;EUR
Serbia;SRB;EUR
Slovakia;SVK;EUR
Slovenia;SVN;EUR
Sweden;SWE;EUR
Turkey;TUR;EUR
Holy See (Vatican City State);VAT;EUR
Armenia;ARM;FSU
Azerbaijan;AZE;FSU
Belarus;BLR;FSU
Georgia;GEO;FSU
Kazakhstan;KAZ;FSU
Kyrgyzstan;KGZ;FSU
Moldova, Republic of;MDA;FSU
Russian Federation;RUS;FSU
Tajikistan;TJK;FSU
Turkmenistan;TKM;FSU
Ukraine;UKR;FSU
Uzbekistan;UZB;FSU
Aruba;ABW;LAM
Anguilla;AIA;LAM
Argentina;ARG;LAM
Antarctica;ATA;LAM
Antigua and Barbuda;ATG;LAM
Bonaire, Sint Eustatius and Saba;BES;LAM
Bahamas;BHS;LAM
Saint Barthelemy;BLM;LAM
Belize;BLZ;LAM
Bolivia, Plurinational State of;BOL;LAM
Brazil;BRA;LAM
Barbados;BRB;LAM
Chile;CHL;LAM
Colombia;COL;LAM
Costa Rica;CRI;LAM
Cuba;CUB;LAM
Curacao;CUW;LAM
Cayman Islands;CYM;LAM
Dominica;DMA;LAM
Dominican Republic;DOM;LAM
Ecuador;ECU;LAM
Falkland Islands (Malvinas);FLK;LAM
Guadeloupe;GLP;LAM
Grenada;GRD;LAM
Guatemala;GTM;LAM
French Guiana;GUF;LAM
Guyana;GUY;LAM
Honduras;HND;LAM
Haiti;HTI;LAM
Jamaica;JAM;LAM
Saint Kitts and Nevis;KNA;LAM
Saint Lucia;LCA;LAM
Saint Martin (French part);MAF;LAM
Mexico;MEX;LAM
Montserrat;MSR;LAM
Martinique;MTQ;LAM
Nicaragua;NIC;LAM
Panama;PAN;LAM
Peru;PER;LAM
Paraguay;PRY;LAM
South Georgia and the South Sandwich Islands;SGS;LAM
El Salvador;SLV;LAM
Suriname;SUR;LAM
Sint Maarten (Dutch part);SXM;LAM
Turks and Caicos Islands;TCA;LAM
Trinidad and Tobago;TTO;LAM
Uruguay;URY;LAM
Saint Vincent and the Grenadines;VCT;LAM
Venezuela, Bolivarian Republic of;VEN;LAM
Virgin Islands, British;VGB;LAM
Virgin Islands, U.S.;VIR;LAM
United Arab Emirates;ARE;MEA
Bahrain;BHR;MEA
Algeria;DZA;MEA
Egypt;EGY;MEA
Iran, Islamic Republic of;IRN;MEA
Iraq;IRQ;MEA
Israel;ISR;MEA
Jordan;JOR;MEA
Kuwait;KWT;MEA
Lebanon;LBN;MEA
Libya;LBY;MEA
Morocco;MAR;MEA
Oman;OMN;MEA
Palestine, State of;PSE;MEA
Qatar;QAT;MEA
Saudi Arabia;SAU;MEA
Syrian Arab Republic;SYR;MEA
Tunisia;TUN;MEA
Yemen;YEM;MEA
Bermuda;BMU;NAM
Canada;CAN;NAM
Puerto Rico;PRI;NAM
Saint Pierre and Miquelon;SPM;NAM
United States Minor Outlying Islands;UMI;NAM
United States;USA;NAM
American Samoa;ASM;PAO
Australia;AUS;PAO
Cocos (Keeling) Islands;CCK;PAO
Cook Islands;COK;PAO
Christmas Island;CXR;PAO
Heard Island and McDonald Islands;HMD;PAO
Japan;JPN;PAO
Norfolk Island;NFK;PAO
Niue;NIU;PAO
New Zealand;NZL;PAO
French Polynesia;PYF;PAO
Tokelau;TKL;PAO
Brunei Darussalam;BRN;PAS
Fiji;FJI;PAS
Micronesia, Federated States of;FSM;PAS
Guam;GUM;PAS
Indonesia;IDN;PAS
Kiribati;KIR;PAS
Korea, Republic of;KOR;PAS
Marshall Islands;MHL;PAS
Northern Mariana Islands;MNP;PAS
Malaysia;MYS;PAS
New Caledonia;NCL;PAS
Nauru;NRU;PAS
Pitcairn;PCN;PAS
Philippines;PHL;PAS
Palau;PLW;PAS
Papua New Guinea;PNG;PAS
Korea, Democratic People's Republic of;PRK;PAS
Singapore;SGP;PAS
Solomon Islands;SLB;PAS
Thailand;THA;PAS
Timor-Leste;TLS;PAS
Tonga;TON;PAS
Tuvalu;TUV;PAS
Vanuatu;VUT;PAS
Wallis and Futuna;WLF;PAS
Samoa;WSM;PAS
Afghanistan;AFG;SAS
Bangladesh;BGD;SAS
Bhutan;BTN;SAS
India;IND;SAS
British Indian Ocean Territory;IOT;SAS
Sri Lanka;LKA;SAS
Maldives;MDV;SAS
Myanmar;MMR;SAS
Nepal;NPL;SAS
Pakistan;PAK;SAS
Reunion;REU;SAS
